aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm,buildingAge,isHighFloor,dealYearMonth,dealQuarter,estateAgentSggNmClean,aptAddress,isStationNearby,aptLat,aptLng,area_bin,nearestElementaryDistance,nearestElementaryName,nearestMiddleDistance,nearestMiddleName,isSchoolPremium
113,강서힐스테이트,2015,개인, , ,136000,24,3,2025,중개거래,서울 강서구,84.99,11,1165,N,25.07.02,11500,개인,화곡동,10,0,2025-03,1,서울 강서구,서울 강서구 화곡동 1165,1,37.5466340065991,126.840034541157,60~90,499.66313696914074,서울내발산초등학교,679.2583783921277,화곡중학교,True
101,무학,1999,개인, , ,70500,8,3,2025,중개거래,서울 강서구,59.38,2,255,N,25.06.09,11500,개인,염창동,26,0,2025-03,1,서울 강서구,서울 강서구 염창동 255,0,37.5513949211236,126.876557322294,30~60,379.7390598238491,서울염동초등학교,531.08538022244,염창중학교,True
 ,성재센트리움아파트(343-35),2015,개인, , ,22500,28,3,2025,직거래, ,22.52,7,343-35,N,25.04.17,11500,개인,화곡동,10,0,2025-03,1, ,  화곡동 343-35,1,37.531551713971,126.84605623801,~30,601.5969613926933,서울신정초등학교,609.4537705351235,화원중학교,False
103,우장산롯데,2004,개인, , ,78000,27,3,2025,중개거래,서울 강서구,84.98,6,1148,N,25.06.12,11500,개인,화곡동,21,0,2025-03,1,서울 강서구,서울 강서구 화곡동 1148,0,37.552461665687,126.846487416103,60~90,316.51166640517573,서울우장초등학교,903.047416190481,등명중학교,True
109,강서힐스테이트,2015,개인, , ,115000,8,3,2025,중개거래,서울 강서구,59.99,15,1165,N,25.06.13,11500,개인,화곡동,10,1,2025-03,1,서울 강서구,서울 강서구 화곡동 1165,1,37.5466340065991,126.840034541157,30~60,499.66313696914074,서울내발산초등학교,679.2583783921277,화곡중학교,True
202,가양2단지(성지),1992,개인, , ,60800,20,3,2025,중개거래,서울 강서구,39.6,14,1461,N,25.06.27,11500,개인,가양동,33,0,2025-03,1,서울 강서구,서울 강서구 가양동 1461,0,37.5704957193283,126.847174411361,30~60,615.9218085381814,서울탑산초등학교,191.34873168776193,성재중학교,True
104,강변한솔솔파크,2005,개인, , ,101000,28,3,2025,중개거래,"서울 강서구, 서울 영등포구",84.97,7,300,N,25.06.17,11500,개인,염창동,20,0,2025-03,1,서울 강서구,서울 강서구 염창동 300,0,37.5566842439508,126.866552401948,60~90,394.81737002060237,서울염창초등학교,424.5347607788511,염경중학교,True
805,"등촌7,8단지주공아파트",1994,개인, , ,57500,21,3,2025,중개거래,서울 강서구,41.85,13,707,N,25.06.30,11500,개인,등촌동,31,0,2025-03,1,서울 강서구,서울 강서구 등촌동 707,1,37.56080406349,126.851687961989,30~60,180.41095686164485,서울등원초등학교,119.2944809176538,등원중학교,True
 ,강변,1992,개인, , ,58000,29,3,2025,중개거래,서울 강서구,39.6,6,1475,N, ,11500,개인,가양동,33,0,2025-03,1,서울 강서구,서울 강서구 가양동 1475,1,37.5652163063579,126.855667621933,30~60,336.3626633132198,서울탑산초등학교,478.4224789287357,경서중학교,True
122,등촌동아이파크,2004,개인, , ,97000,28,3,2025,중개거래,서울 강서구,84.9958,10,715,N,25.06.30,11500,개인,등촌동,21,0,2025-03,1,서울 강서구,서울 강서구 등촌동 715,0,37.5439005769284,126.859981715413,60~90,254.28408858802376,서울등마초등학교,495.66680848427035,백석중학교,True
105,무학,1999,개인, , ,72700,27,3,2025,중개거래,서울 강서구,59.38,4,255,N,25.06.05,11500,개인,염창동,26,0,2025-03,1,서울 강서구,서울 강서구 염창동 255,0,37.5513949211236,126.876557322294,30~60,379.7390598238491,서울염동초등학교,531.08538022244,염창중학교,True
129,강서힐스테이트,2015,개인, , ,115000,19,3,2025,중개거래,서울 강서구,59.99,19,1165,N,25.06.30,11500,개인,화곡동,10,1,2025-03,1,서울 강서구,서울 강서구 화곡동 1165,1,37.5466340065991,126.840034541157,30~60,499.66313696914074,서울내발산초등학교,679.2583783921277,화곡중학교,True
 ,마곡엠벨리(14단지),2014,개인,25.05.07,O,178000,29,3,2025,중개거래,서울 강서구,114.86,6,750,N, ,11500,개인,마곡동,11,0,2025-03,1,서울 강서구,서울 강서구 마곡동 750,1,37.5568364485914,126.824616701317,90~120,194.35554043112242,서울공진초등학교,353.2979872165277,마곡하늬중학교,True
101,빛고을우방,1999,개인, , ,78000,15,3,2025,중개거래,서울 강서구,84.9,18,448-9,N,25.05.27,11500,개인,가양동,26,1,2025-03,1,서울 강서구,서울 강서구 가양동 448-9,1,37.5601069146431,126.857950252379,60~90,239.5934196418308,서울가양초등학교,127.03594105308095,경서중학교,True
1201,마곡중앙하이츠아파트,1994,개인, , ,38000,24,3,2025,중개거래,서울 강서구,39.58,4,852,N,25.07.03,11500,개인,방화동,31,0,2025-03,1,서울 강서구,서울 강서구 방화동 852,1,37.5698046000523,126.806639355477,30~60,143.78986924607477,서울방화초등학교,608.4979060973445,방화중학교,True
304,강변,1992,개인, , ,53400,18,3,2025,중개거래,서울 강서구,34.44,15,1475,N,25.07.31,11500,개인,가양동,33,1,2025-03,1,서울 강서구,서울 강서구 가양동 1475,1,37.5652163063579,126.855667621933,30~60,336.3626633132198,서울탑산초등학교,478.4224789287357,경서중학교,True
101,방화3차우림필유,2005,개인, , ,71000,31,3,2025,중개거래,서울 강서구,84.57,5,546-1,N,25.04.30,11500,개인,방화동,20,0,2025-03,1,서울 강서구,서울 강서구 방화동 546-1,1,37.5682727499685,126.808198355281,60~90,78.21926992098437,서울방화초등학교,447.5867427020716,방화중학교,True
 ,강서힐스테이트,2015,개인,25.04.18,O,115000,8,3,2025,중개거래,서울 강서구,59.99,15,1165,N, ,11500,개인,화곡동,10,1,2025-03,1,서울 강서구,서울 강서구 화곡동 1165,1,37.5466340065991,126.840034541157,30~60,499.66313696914074,서울내발산초등학교,679.2583783921277,화곡중학교,True
3,염창동한강우성,1990,개인, , ,70150,25,3,2025,중개거래,서울 강서구,65.88,4,66-9,N,25.05.30,11500,개인,염창동,35,0,2025-03,1,서울 강서구,서울 강서구 염창동 66-9,0,37.5557364730159,126.870260078656,60~90,116.76963256464146,서울염경초등학교,135.14631298197543,염경중학교,True
130,화곡푸르지오,2002,개인, , ,121000,25,3,2025,중개거래,서울 강서구,144.123,3,1091,N,25.05.16,11500,개인,화곡동,23,0,2025-03,1,서울 강서구,서울 강서구 화곡동 1091,0,37.5446220190794,126.831442765438,120~150,321.1509165740397,서울강신초등학교,434.67325538813714,화곡중학교,True
103,관음삼성,1997,개인, , ,80500,22,3,2025,중개거래,서울 강서구,59.96,19,268,N,25.06.04,11500,개인,염창동,28,1,2025-03,1,서울 강서구,서울 강서구 염창동 268,1,37.5525918225659,126.869126258107,30~60,152.1197998952043,서울염창초등학교,249.0316986711162,염경중학교,True
101,삼성하나로,1994,개인, , ,58000,29,3,2025,중개거래,서울 강서구,59.26,3,248-3,N,25.05.16,11500,개인,염창동,31,0,2025-03,1,서울 강서구,서울 강서구 염창동 248-3,0,37.5516297228771,126.871906542332,30~60,64.91773216036628,서울염동초등학교,292.7189065591618,염창중학교,True
